Sursa (.frm),Formular,Tip control,Nume control,Proprietate,Fisier .frx,Offset (hex)
Paul-Media Q/Despre.frm,Despre,Form,Despre,Icon,Despre.frx,0000
Paul-Media Q/Despre.frm,Despre,Form,Despre,Picture,Despre.frx,2982
Paul-Media Q/Despre.frm,Despre,Image,Image2,Picture,Despre.frx,6E2E
Paul-Media Q/Despre.frm,Despre,Image,Iesire,MouseIcon,Despre.frx,81FD
Paul-Media Q/Despre.frm,Despre,Image,Iesire,Picture,Despre.frx,8AC7
Paul-Media Q/Intro.frm,Intro,Form,Intro,Icon,Intro.frx,0000
Paul-Media Q/Intro.frm,Intro,Form,Intro,Picture,Intro.frx,2982
Paul-Media Q/Fereastra-Centrala.frm,Fereastra-Centrala,Form,MiniAVI,Icon,Fereastra-Centrala.frx,0000
Paul-Media Q/Fereastra-Centrala.frm,Fereastra-Centrala,Form,MiniAVI,Picture,Fereastra-Centrala.frx,2982
Paul-Media Q/Fereastra-Centrala.frm,Fereastra-Centrala,PictureBox,SunetZero4,Picture,Fereastra-Centrala.frx,AAD4
Paul-Media Q/Fereastra-Centrala.frm,Fereastra-Centrala,PictureBox,SunetZero3,Picture,Fereastra-Centrala.frx,B7DA
Paul-Media Q/Fereastra-Centrala.frm,Fereastra-Centrala,PictureBox,SunetZero2,Picture,Fereastra-Centrala.frx,C4E0
Paul-Media Q/Fereastra-Centrala.frm,Fereastra-Centrala,PictureBox,SunetZero1,Picture,Fereastra-Centrala.frx,D1E6
Paul-Media Q/Fereastra-Centrala.frm,Fereastra-Centrala,PictureBox,Misca0,Picture,Fereastra-Centrala.frx,DEEC
Paul-Media Q/Fereastra-Centrala.frm,Fereastra-Centrala,PictureBox,picSeek,Picture,Fereastra-Centrala.frx,E17A
Paul-Media Q/Fereastra-Centrala.frm,Fereastra-Centrala,PictureBox,volorig,Picture,Fereastra-Centrala.frx,EA74
Paul-Media Q/Fereastra-Centrala.frm,Fereastra-Centrala,PictureBox,voldisp,Picture,Fereastra-Centrala.frx,F77A
